strategy_id,candidate_id,feature_snapshot_id,trading_date,signal_ts_ns,signal_ts_utc,direction,regime_label,entry_price,stop_price,target_prices,exit_ts_ns,exit_ts_utc,exit_price_weighted,exit_reason,holding_minutes,gross_points,gross_usd,round_turn_cost_usd,net_usd,mfe_points,mae_points,dynamic_target_rr
opening_range_box_regime_long,candidate-bt-mnq-12mo-2020-09-30-1601474400000000000-opening_range_box_regime_long,bt-mnq-12mo-2020-09-30-1601474400000000000,2020-09-30,1601474400000000000,2020-09-30T14:00:00.000000000Z,long,low,11420.75,11309.75,pt1:11531.75|pt2:11642.75,1601495940000000000,2020-09-30T19:59:00.000000000Z,11403,rth_close,359,-17.75,-35.5,2,-37.5,104.5,85,
opening_range_box_regime_long,candidate-bt-mnq-12mo-2020-10-01-1601560980000000000-opening_range_box_regime_long,bt-mnq-12mo-2020-10-01-1601560980000000000,2020-10-01,1601560980000000000,2020-10-01T14:03:00.000000000Z,long,low,11539.25,11503.25,pt1:11575.25|pt2:11611.25,1601561280000000000,2020-10-01T14:08:00.000000000Z,11503.25,stop,5,-36,-72,2,-74,0.25,36.75,
opening_range_box_regime_long,candidate-bt-mnq-12mo-2020-10-01-1601562000000000000-opening_range_box_regime_long,bt-mnq-12mo-2020-10-01-1601562000000000000,2020-10-01,1601562000000000000,2020-10-01T14:20:00.000000000Z,long,low,11522.25,11487.75,pt1:11556.75|pt2:11591.25,1601562360000000000,2020-10-01T14:26:00.000000000Z,11487.75,stop,6,-34.5,-69,2,-71,3.75,37.75,
opening_range_box_regime_long,candidate-bt-mnq-12mo-2020-10-01-1601562660000000000-opening_range_box_regime_long,bt-mnq-12mo-2020-10-01-1601562660000000000,2020-10-01,1601562660000000000,2020-10-01T14:31:00.000000000Z,long,low,11519,11484,pt1:11554|pt2:11589,1601565000000000000,2020-10-01T15:10:00.000000000Z,11484,stop,39,-35,-70,2,-72,24,45,
opening_range_box_regime_long,candidate-bt-mnq-12mo-2020-10-01-1601565720000000000-opening_range_box_regime_long,bt-mnq-12mo-2020-10-01-1601565720000000000,2020-10-01,1601565720000000000,2020-10-01T15:22:00.000000000Z,long,low,11518.75,11473.5,pt1:11564|pt2:11609.25,1601582340000000000,2020-10-01T19:59:00.000000000Z,11568.375,pt1_then_rth_close,277,49.625,99.25,2,97.25,80,22.25,
opening_range_box_breakout_long,candidate-bt-mnq-12mo-2020-10-01-1601577600000000000-opening_range_box_breakout_long,bt-mnq-12mo-2020-10-01-1601577600000000000,2020-10-01,1601577600000000000,2020-10-01T18:40:00.000000000Z,long,low,11569.25,11510,pt1:11628.5|pt2:11687.75,1601582340000000000,2020-10-01T19:59:00.000000000Z,11572.75,rth_close,79,3.5,7,2,5,29.5,37,
opening_range_box_regime_long,candidate-bt-mnq-12mo-2020-10-02-1601657280000000000-opening_range_box_regime_long,bt-mnq-12mo-2020-10-02-1601657280000000000,2020-10-02,1601657280000000000,2020-10-02T16:48:00.000000000Z,long,low,11330.5,11204.5,pt1:11456.5|pt2:11582.5,1601668740000000000,2020-10-02T19:59:00.000000000Z,11244,rth_close,191,-86.5,-173,2,-175,13.5,93.75,
opening_range_box_breakout_long,candidate-bt-mnq-12mo-2020-10-06-1601994360000000000-opening_range_box_breakout_long,bt-mnq-12mo-2020-10-06-1601994360000000000,2020-10-06,1601994360000000000,2020-10-06T14:26:00.000000000Z,long,low,11479.5,11417.5,pt1:11541.5|pt2:11603.5,1601997060000000000,2020-10-06T15:11:00.000000000Z,11417.5,stop,45,-62,-124,2,-126,18,63.5,
opening_range_box_regime_long,candidate-bt-mnq-12mo-2020-10-06-1601994360000000000-opening_range_box_regime_long,bt-mnq-12mo-2020-10-06-1601994360000000000,2020-10-06,1601994360000000000,2020-10-06T14:26:00.000000000Z,long,low,11479.5,11417.5,pt1:11541.5|pt2:11603.5,1601997060000000000,2020-10-06T15:11:00.000000000Z,11417.5,stop,45,-62,-124,2,-126,18,63.5,
opening_range_box_regime_long,candidate-bt-mnq-12mo-2020-10-06-1602002340000000000-opening_range_box_regime_long,bt-mnq-12mo-2020-10-06-1602002340000000000,2020-10-06,1602002340000000000,2020-10-06T16:39:00.000000000Z,long,low,11430.5,11356.25,pt1:11504.75|pt2:11579,1602010440000000000,2020-10-06T18:54:00.000000000Z,11430.5,stop,135,0,0,2,-2,93.75,96.25,
opening_range_box_breakout_long,candidate-bt-mnq-12mo-2020-10-06-1602008640000000000-opening_range_box_breakout_long,bt-mnq-12mo-2020-10-06-1602008640000000000,2020-10-06,1602008640000000000,2020-10-06T18:24:00.000000000Z,long,low,11479.5,11417.5,pt1:11541.5|pt2:11603.5,1602010200000000000,2020-10-06T18:50:00.000000000Z,11417.5,stop,26,-62,-124,2,-126,44.75,71.5,
opening_range_box_breakout_short,candidate-bt-mnq-12mo-2020-10-07-1602080760000000000-opening_range_box_breakout_short,bt-mnq-12mo-2020-10-07-1602080760000000000,2020-10-07,1602080760000000000,2020-10-07T14:26:00.000000000Z,short,high,11384.5,11438.5,pt1:11330.5|pt2:11276.5,1602084660000000000,2020-10-07T15:31:00.000000000Z,11438.5,stop,65,-54,-108,2,-110,22,57.25,
opening_range_box_regime_long,candidate-bt-mnq-12mo-2020-10-08-1602167820000000000-opening_range_box_regime_long,bt-mnq-12mo-2020-10-08-1602167820000000000,2020-10-08,1602167820000000000,2020-10-08T14:37:00.000000000Z,long,low,11527.75,11487.25,pt1:11568.25|pt2:11608.75,1602187140000000000,2020-10-08T19:59:00.000000000Z,11536.25,rth_close,322,8.5,17,2,15,35.5,31.75,
opening_range_box_breakout_long,candidate-bt-mnq-12mo-2020-10-09-1602253860000000000-opening_range_box_breakout_long,bt-mnq-12mo-2020-10-09-1602253860000000000,2020-10-09,1602253860000000000,2020-10-09T14:31:00.000000000Z,long,low,11639.75,11587.5,pt1:11692|pt2:11744.25,1602273540000000000,2020-10-09T19:59:00.000000000Z,11701.75,pt1_then_rth_close,328,62,124,2,122,74.5,3.75,
opening_range_box_regime_long,candidate-bt-mnq-12mo-2020-10-14-1602687840000000000-opening_range_box_regime_long,bt-mnq-12mo-2020-10-14-1602687840000000000,2020-10-14,1602687840000000000,2020-10-14T15:04:00.000000000Z,long,low,12076.25,12026.75,pt1:12125.75|pt2:12175.25,1602690300000000000,2020-10-14T15:45:00.000000000Z,12026.75,stop,41,-49.5,-99,2,-101,28.25,54.25,
opening_range_box_breakout_long,candidate-bt-mnq-12mo-2020-10-16-1602856860000000000-opening_range_box_breakout_long,bt-mnq-12mo-2020-10-16-1602856860000000000,2020-10-16,1602856860000000000,2020-10-16T14:01:00.000000000Z,long,low,11969.75,11926,pt1:12013.5|pt2:12057.25,1602861000000000000,2020-10-16T15:10:00.000000000Z,11969.75,stop,69,0,0,2,-2,52,49.25,
opening_range_box_regime_long,candidate-bt-mnq-12mo-2020-10-16-1602860280000000000-opening_range_box_regime_long,bt-mnq-12mo-2020-10-16-1602860280000000000,2020-10-16,1602860280000000000,2020-10-16T14:58:00.000000000Z,long,low,11969.75,11926,pt1:12013.5|pt2:12057.25,1602861000000000000,2020-10-16T15:10:00.000000000Z,11926,stop,12,-43.75,-87.5,2,-89.5,1.5,49.25,
opening_range_box_regime_long,candidate-bt-mnq-12mo-2020-10-16-1602863340000000000-opening_range_box_regime_long,bt-mnq-12mo-2020-10-16-1602863340000000000,2020-10-16,1602863340000000000,2020-10-16T15:49:00.000000000Z,long,low,11926.5,11874.5,pt1:11978.5|pt2:12030.5,1602877260000000000,2020-10-16T19:41:00.000000000Z,11874.5,stop,232,-52,-104,2,-106,35.75,57.75,
opening_range_box_breakout_short,candidate-bt-mnq-12mo-2020-10-20-1603206540000000000-opening_range_box_breakout_short,bt-mnq-12mo-2020-10-20-1603206540000000000,2020-10-20,1603206540000000000,2020-10-20T15:09:00.000000000Z,short,high,11631.5,11707.5,pt1:11555.5|pt2:11479.5,1603211580000000000,2020-10-20T16:33:00.000000000Z,11707.5,stop,84,-76,-152,2,-154,7.5,82.25,
opening_range_box_regime_long,candidate-bt-mnq-12mo-2020-10-21-1603297200000000000-opening_range_box_regime_long,bt-mnq-12mo-2020-10-21-1603297200000000000,2020-10-21,1603297200000000000,2020-10-21T16:20:00.000000000Z,long,low,11700.75,11629.75,pt1:11771.75|pt2:11842.75,1603310340000000000,2020-10-21T19:59:00.000000000Z,11652.5,rth_close,219,-48.25,-96.5,2,-98.5,51.25,68.25,
opening_range_box_regime_long,candidate-bt-mnq-12mo-2020-10-22-1603389180000000000-opening_range_box_regime_long,bt-mnq-12mo-2020-10-22-1603389180000000000,2020-10-22,1603389180000000000,2020-10-22T17:53:00.000000000Z,long,low,11664.5,11510.5,pt1:11818.5|pt2:11972.5,1603396740000000000,2020-10-22T19:59:00.000000000Z,11654,rth_close,126,-10.5,-21,2,-23,20.5,41.75,
